anonID,name,mac
1,unknown,fc:a6:67:89:70:d0
2,unknown,fc:65:de:83:97:d9
3,komal,fc:64:ba:c9:f4:27
4,unknown,fc:64:ba:1b:d9:8b
5,unknown,fc:01:7c:73:34:17
6,unknown,fc:01:7c:05:9c:4b
7,unknown,f8:da:0c:00:f6:4d
8,unknown,f8:c3:9e:d1:e2:c5
9,15110065,f8:95:ea:ed:4f:89
10,17520013,f8:2f:a8:d1:00:6b
11,unknown,f8:28:19:e1:82:1f
12,unknown,f8:28:19:97:d8:7b
13,17510020,f8:28:19:6b:0e:01
14,unknown,f8:28:19:4d:01:cd
15,pgmakwana,f4:f5:db:b9:4a:81
16,unknown,f4:f5:db:b7:73:5b
17,15310009,f4:f5:db:b4:9f:09
18,17110115,f4:f5:db:b1:7e:e5
19,16110102,f4:f5:db:ad:3c:5d
20,spatel,f4:f5:db:ac:00:49
21,skpandey,f4:f5:db:a9:e6:81
22,snbanerjee,f4:f5:db:9c:95:03
23,unknown,f4:f5:db:97:1e:11
24,17310006,f4:f5:db:90:d2:d9
25,14350004,f4:f5:db:90:98:df
26,17510088,f4:f5:db:90:20:8b
27,unknown,f4:f5:db:8d:96:e5
28,17110137,f4:f5:db:8a:ab:c1
29,17110087,f4:f5:db:89:08:dd
30,unknown,f4:f5:db:88:e5:1b
31,14310020,f4:f5:db:87:7c:75
32,17110017,f4:f5:db:80:b7:d5
33,rrpuri,f4:f5:24:dd:6b:84
34,hemantkg,f4:f5:24:b0:a4:b5
35,subhamoy.datta,f4:f5:24:5e:6d:92
36,unknown,f4:f5:24:5c:c0:92
37,unknown,f4:f5:24:4a:73:38
38,unknown,f4:f5:24:1d:c8:f3
39,18510025,f4:f5:24:00:65:df
40,unknown,f4:c2:48:4e:af:96
41,unknown,f4:96:34:fe:4a:16
42,17110042,f4:8b:32:dd:52:3e
43,13310002,f4:8b:32:7f:44:87
44,haresh.c,f4:8b:32:2e:b4:6f
45,unknown,f4:5c:89:ac:6c:4d
46,15110022,f4:0f:24:3a:1b:91
47,unknown,f0:db:e2:d7:71:01
48,vjain,f0:d7:aa:de:8c:35
49,unknown,f0:d7:aa:da:4b:e6
50,unknown,f0:d7:aa:ac:7e:79
51,unknown,f0:d7:aa:ab:03:f5
52,unknown,f0:d7:aa:aa:88:6e
53,16110006,f0:d7:aa:97:b2:03
54,unknown,f0:d7:aa:96:40:58
55,unknown,f0:d7:aa:8c:ac:27
56,18510021,f0:d7:aa:75:24:b5
57,unknown,f0:d7:aa:5d:04:8a
58,unknown,f0:d7:aa:5a:30:b5
59,ap,f0:d7:aa:2a:3e:ef
60,unknown,f0:d7:aa:29:16:f7
61,unknown,f0:d7:aa:28:7b:c0
